Director,Nombre,Nota media,Total de películas,Productora habitual,Beneficio total,Mejor filme,Nota
![](https://upload.wikimedia.org/wikipedia/commons/thumb/5/55/TaylorHackfordHWOFJan2013.jpg/220px-TaylorHackfordHWOFJan2013.jpg),Taylor Hackford,7.183333333333334,6,Castle Rock Entertainment,183458057,"Blood In, Blood Out",8
![](https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/The_Director_of_%E2%80%98Evil%E2%80%99_Mikael_Hafstrom%2C_Actor_Andreas_Eilson%2C_Director_of_the_film_%E2%80%98Double_Shift%E2%80%99_Maria_Essen%2C_the_Producer_of_the_film_%E2%80%98Threat%E2%80%99_Christer_Abrahamson_Actor_Stefan_Sauk.jpg/1000px-thumbnail.jpg),Mikael Håfström,6.775,4,Di Bonaventura Pictures,182896213,Evil,7.8
![](https://upload.wikimedia.org/wikipedia/commons/thumb/f/f8/Martin_McDonagh_2012.jpg/220px-Martin_McDonagh_2012.jpg),Martin McDonagh,7.733333333333333,3,Blueprint Pictures,181504398,"Three Billboards Outside Ebbing, Missouri",8.1
![](https://upload.wikimedia.org/wikipedia/commons/thumb/d/d3/Jeff_Wadlow_by_Gage_Skidmore.jpg/220px-Jeff_Wadlow_by_Gage_Skidmore.jpg),Jeff Wadlow,6.025,4,Blumhouse Productions,177840534,Never Back Down,6.6
![](NA),Christopher Landon,6.366666666666666,3,Blumhouse Productions,177416464,Happy Death Day,6.6
![](https://upload.wikimedia.org/wikipedia/commons/thumb/0/06/Sofia_Coppola_Cannes_2013.jpg/220px-Sofia_Coppola_Cannes_2013.jpg),Sofia Coppola,6.6,6,American Zoetrope,174217517,Lost in Translation,7.7
![](https://upload.wikimedia.org/wikipedia/commons/thumb/b/b8/Michel_Gondry_Deauville_2012_%28cropped%29.jpg/220px-Michel_Gondry_Deauville_2012_%28cropped%29.jpg),Michel Gondry,6.7250000000000005,4,Columbia Pictures,174008029,Eternal Sunshine of the Spotless Mind,8.3
![](https://upload.wikimedia.org/wikipedia/commons/thumb/2/2d/Lawrence_Kasdan_by_Gage_Skidmore.jpg/220px-Lawrence_Kasdan_by_Gage_Skidmore.jpg),Lawrence Kasdan,6.585714285714285,7,Warner Bros.,173278045,Silverado,7.2
![](NA),Jonathan Levine,6.516666666666667,6,Summit Entertainment,172369500,50/50,7.6
![](https://upload.wikimedia.org/wikipedia/commons/thumb/8/8d/George_Clooney_2016.jpg/220px-George_Clooney_2016.jpg),George Clooney,6.55,6,Columbia Pictures,172270451,"Good Night, and Good Luck.",7.4
